Coral ,Allocation,R,P,P_R,biomass,TOTAL Chl c2   (ug/cm2),chla,zoox,Chl c2 cell,chla_cell
V1_1,Slow Onset,0.36641927,1.134140739,1.547599746,8.614285714,0.4134,1.2381,1.182857143,0.349492754,1.046702899
V1_3,Control,0.160522858,1.298273866,4.043890956,6.035714286,2.928311321,10.96826625,4.930188679,0.593955224,2.224715312
V1_4,Fast Onset,0.052614925,0.190317897,1.808592311,,,,,,
V2_1,Fast Onset,0.224567902,1.736940696,3.867295109,8.31547619,0.964290698,3.701471576,2.762790698,0.349027778,1.33975823
V2_3,Slow Onset,0.329986301,1.130141923,1.71240733,0,1.706710526,7.622017544,4.684210526,0.364353933,1.627172285
V2_4,Control,0.247093156,1.696267175,3.432444678,7.142857143,1.729286164,6.66818239,3.262264151,0.530087719,2.044035088
V3_1,Control,0.164686922,0.590293407,1.792168433,10.23928571,1.592986667,6.479002222,4.995428571,0.318888889,1.29698626
V3_2,Slow Onset,0.160414232,0.717814819,2.237378842,10.14880952,0.822527132,2.463403101,1.987477639,0.318349835,0.953432343
V3_3,Fast Onset,0.105353496,0.791043969,3.754236913,8.202380952,0.889968553,3.65812369,3.483018868,0.255516432,1.050273865
V4_1,Slow Onset,,,,9.380952381,0.636333333,3.640333333,2.8,0.227261905,1.300119048
V4_3,Control,,,,6.383928571,2.635279874,11.08339937,5.764150943,0.457184397,1.922815603
V4_4,Fast Onset,,,,12.07142857,1.133854167,4.660590278,5.225,0.260406699,1.070374801
V5_1,Fast Onset,,,,10.20952381,0.291487179,1.513435897,1.107692308,0.219290123,1.138580247
V5_3,Slow Onset,,,,5.201465201,0.204509804,1.292712418,1.137254902,0.179827586,1.136695402
V5_4,Control,,,,6.023809524,0.678077519,2.91824031,1.86744186,0.363105023,1.562694064
V6_1,Control,0.245881248,1.056925061,2.149259185,9.714285714,2.492333333,10.02488889,5.542857143,0.449647766,1.808613975
V6_2,Slow Onset,0.110394901,0.692147956,3.134872843,17.55952381,0.917675439,4.041681287,4.184210526,0.219318658,0.965936408
V6_3,Fast Onset,0.091598621,0.268299508,1.464539016,8.839285714,0.641965116,3.031949612,2.072093023,0.309814815,1.463230453
V7_1,Slow Onset,0.169644947,0.673692792,1.9855964,15.17857143,0.698333333,2.504444444,2.19047619,0.318804348,1.143333333
V7_3,Control,0.339689469,2.293623593,3.376059313,,,,,,
V7_4,Fast Onset,0.355481048,1.593558248,2.24141098,7.571428571,0.016333333,0.771652778,1,0.016333333,0.771652778
V8_1,Fast Onset,,,,9.416666667,0.571666667,2.96816092,3.065517241,0.18648294,0.96824147
V8_3,Slow Onset,,,,9.053571429,0.494772727,2.033712121,1.281818182,0.385992908,1.586583924
V8_4,Control,,,,17.97619048,2.146973684,9.701345029,6.552631579,0.327650602,1.480526551
